	epoch	loss	correct
0	500	1.9309	50
1	490	1.9628	50
2	480	1.9943	50
3	470	2.0279	50
4	460	2.0613	50
5	450	2.0989	50
6	440	2.1400	50
7	430	2.1836	50
8	420	2.2288	50
9	410	2.2770	50
10	400	2.3272	50
11	390	2.3833	50
12	380	2.4462	50
13	370	2.5229	50
14	360	2.6037	50
15	350	2.6872	50
16	340	2.7755	49
17	330	2.8680	49
18	320	2.9651	49
19	310	3.0665	49
20	300	3.1757	49
21	290	3.2991	49
22	280	3.4304	49
23	270	3.5665	49
24	260	3.7100	48
25	250	3.8592	47
26	240	4.0137	47
27	230	4.1740	47
28	220	4.3398	47
29	210	4.5104	47
30	200	4.6845	47
31	190	4.8612	47
32	180	5.0406	47
33	170	5.2218	47
34	160	5.4040	47
35	150	5.5857	47
36	140	5.7661	47
37	130	5.9447	47
38	120	6.1209	47
39	110	6.2952	47
40	100	6.4655	47
41	90	6.6325	47
42	80	6.7965	47
43	70	6.9669	47
44	60	7.1319	47
45	50	7.2924	47
46	40	7.4519	47
47	30	7.6353	47
48	20	8.0315	47
49	10	10.7251	47
