	epoch	loss	correct
0	500	2.1852	49
1	490	2.2103	49
2	480	2.2366	49
3	470	2.2644	49
4	460	2.2937	49
5	450	2.3246	49
6	440	2.3574	49
7	430	2.3920	49
8	420	2.4290	49
9	410	2.4685	49
10	400	2.5106	49
11	390	2.5556	49
12	380	2.6038	49
13	370	2.6555	49
14	360	2.7110	49
15	350	2.7710	49
16	340	2.8358	49
17	330	2.9062	49
18	320	2.9829	49
19	310	3.0675	49
20	300	3.1605	49
21	290	3.2632	49
22	280	3.3784	49
23	270	3.5072	49
24	260	3.6523	49
25	250	3.8170	49
26	240	4.0052	49
27	230	4.2221	49
28	220	4.4744	49
29	210	4.7697	49
30	200	5.1177	49
31	190	5.5304	49
32	180	6.0220	49
33	170	6.6090	49
34	160	7.3101	49
35	150	8.1462	49
36	140	9.1383	49
37	130	10.3139	49
38	120	11.7330	48
39	110	13.3947	47
40	100	15.3268	45
41	90	17.5167	45
42	80	19.9302	43
43	70	22.5293	43
44	60	25.1636	43
45	50	27.5846	43
46	40	29.5740	41
47	30	31.0825	38
48	20	32.3873	28
49	10	34.0003	28
