	epoch	loss	correct
0	1500	0.2199	50
1	1490	0.2248	50
2	1480	0.2297	50
3	1470	0.2348	50
4	1460	0.2402	50
5	1450	0.2458	50
6	1440	0.2518	50
7	1430	0.2579	50
8	1420	0.2644	50
9	1410	0.2709	50
10	1400	0.2777	50
11	1390	0.2848	50
12	1380	0.2922	50
13	1370	0.2998	50
14	1360	0.3079	50
15	1350	0.3162	50
16	1340	0.3249	50
17	1330	0.3341	50
18	1320	0.3436	50
19	1310	0.3536	50
20	1300	0.3641	50
21	1290	0.3750	50
22	1280	0.3866	50
23	1270	0.3986	50
24	1260	0.4114	50
25	1250	0.4248	50
26	1240	0.4389	50
27	1230	0.4537	50
28	1220	0.4694	50
29	1210	0.4860	50
30	1200	0.5036	50
31	1190	0.5222	50
32	1180	0.5421	50
33	1170	0.5632	50
34	1160	0.5856	50
35	1150	0.6106	50
36	1140	0.6369	50
37	1130	0.6665	50
38	1120	0.6986	50
39	1110	0.7366	50
40	1100	0.7794	50
41	1090	0.8378	50
42	1080	1.0333	50
43	1070	1.0657	50
44	1060	22.9389	43
45	1050	1.3505	50
46	1040	1.1476	50
47	1030	1.5208	50
48	1020	6.1561	48
49	1010	1.0964	50
50	1000	1.0523	50
51	990	1.0674	50
52	980	1.1462	50
53	970	1.2572	50
54	960	1.3271	50
55	950	1.7792	50
56	940	4.5704	48
57	930	1.3984	50
58	920	1.4185	50
59	910	1.5323	50
60	900	4.6699	49
61	890	11.5725	47
62	880	18.6513	43
63	870	2.0136	49
64	860	1.8522	50
65	850	2.4769	50
66	840	6.2939	48
67	830	2.5622	49
68	820	10.9936	45
69	810	3.5250	48
70	800	10.4378	46
71	790	3.0503	48
72	780	30.7847	42
73	770	2.0956	50
74	760	2.2709	50
75	750	3.6793	49
76	740	8.2694	47
77	730	8.8627	44
78	720	3.4467	49
79	710	2.6199	50
80	700	2.7852	50
81	690	3.3831	50
82	680	13.4594	43
83	670	4.1669	48
84	660	3.0431	50
85	650	3.3874	50
86	640	8.2094	46
87	630	12.1431	42
88	620	6.0332	47
89	610	5.0612	48
90	600	4.1808	48
91	590	9.2679	46
92	580	9.3765	46
93	570	5.4873	48
94	560	8.0749	47
95	550	10.5723	45
96	540	6.8974	48
97	530	9.5205	45
98	520	8.8865	47
99	510	9.1687	46
100	500	9.8916	45
101	490	9.1859	46
102	480	10.1460	45
103	470	10.3027	45
104	460	10.6216	45
105	450	10.6089	45
106	440	11.0526	45
107	430	11.3272	45
108	420	11.5125	45
109	410	11.9358	45
110	400	12.2534	45
111	390	12.5356	45
112	380	12.9761	45
113	370	13.3625	45
114	360	13.7822	44
115	350	14.1515	44
116	340	14.6164	44
117	330	15.0973	44
118	320	15.6496	44
119	310	16.2240	44
120	300	17.0443	43
121	290	17.8741	42
122	280	17.1246	43
123	270	18.6030	42
124	260	18.2857	43
125	250	21.0796	41
126	240	21.1250	42
127	230	21.7983	40
128	220	22.8763	40
129	210	23.4670	35
130	200	24.0940	34
131	190	25.1258	34
132	180	25.6832	34
133	170	27.0370	33
134	160	27.0273	33
135	150	30.7157	33
136	140	26.4246	36
137	130	28.0706	36
138	120	29.3370	33
139	110	30.1584	33
140	100	30.6597	33
141	90	31.0316	33
142	80	31.3125	33
143	70	31.5227	33
144	60	31.6751	33
145	50	31.7960	33
146	40	31.9015	33
147	30	31.9980	33
148	20	32.0872	33
149	10	32.4815	33
